col_1,col_2,col_3,table_index,date,race_num
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,1
WIN,6,12.00,0,2025-04-13,1
PLACE,6,10.10,0,2025-04-13,1
2,27.50,,0,2025-04-13,1
QUINELLA,"2,6",43.00,0,2025-04-13,1
FORECAST,"6,2",52.00,0,2025-04-13,1
TIERCE,"6,2,4",110.00,0,2025-04-13,1
TRIO,"2,4,6",41.00,0,2025-04-13,1
FIRST 4,"2,4,5,6",21.00,0,2025-04-13,1
QUARTET,"6,2,4,5",174.00,0,2025-04-13,1
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,6
WIN,8,31.50,0,2025-04-13,6
PLACE,8,15.00,0,2025-04-13,6
10,19.50,,0,2025-04-13,6
13,33.00,,0,2025-04-13,6
QUINELLA,"8,10",103.00,0,2025-04-13,6
QUINELLA PLACE,"8,10",46.00,0,2025-04-13,6
"8,13",72.50,,0,2025-04-13,6
"10,13",107.50,,0,2025-04-13,6
FORECAST,"8,10",208.00,0,2025-04-13,6
TIERCE,"8,10,13","1,580.00",0,2025-04-13,6
TRIO,"8,10,13",409.00,0,2025-04-13,6
FIRST 4,"7,8,10,13",602.00,0,2025-04-13,6
QUARTET,"8,10,13,7","10,666.00",0,2025-04-13,6
5TH DOUBLE,8/8,571.50,0,2025-04-13,6
8/10,137.00,,0,2025-04-13,6
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,7
WIN,2,167.50,0,2025-04-13,7
PLACE,2,47.50,0,2025-04-13,7
3,11.50,,0,2025-04-13,7
7,19.50,,0,2025-04-13,7
QUINELLA,"2,3",190.00,0,2025-04-13,7
QUINELLA PLACE,"2,3",72.00,0,2025-04-13,7
"2,7",138.50,,0,2025-04-13,7
"3,7",32.00,,0,2025-04-13,7
FORECAST,"2,3",584.00,0,2025-04-13,7
TIERCE,"2,3,7","2,963.00",0,2025-04-13,7
TRIO,"2,3,7",349.00,0,2025-04-13,7
FIRST 4,"2,3,7,14",433.00,0,2025-04-13,7
QUARTET,"2,3,7,14","13,087.00",0,2025-04-13,7
6TH DOUBLE,8/2,517.00,0,2025-04-13,7
8/3,16.50,,0,2025-04-13,7
3RD DOUBLE TRIO,"8,10,13/2,3,7","21,923.00",0,2025-04-13,7
TRIPLE TRIO(Consolation),"5,7,8/8,10,13/Any Combination","143,360.00",0,2025-04-13,7
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,8
WIN,9,65.50,0,2025-04-13,8
PLACE,9,19.00,0,2025-04-13,8
3,10.50,,0,2025-04-13,8
5,37.00,,0,2025-04-13,8
QUINELLA,"3,9",70.00,0,2025-04-13,8
QUINELLA PLACE,"3,9",29.00,0,2025-04-13,8
"5,9",128.00,,0,2025-04-13,8
"3,5",68.00,,0,2025-04-13,8
FORECAST,"9,3",189.00,0,2025-04-13,8
TIERCE,"9,3,5","1,789.00",0,2025-04-13,8
TRIO,"3,5,9",296.00,0,2025-04-13,8
FIRST 4,"3,4,5,9",822.00,0,2025-04-13,8
QUARTET,"9,3,5,4","19,336.00",0,2025-04-13,8
7TH DOUBLE,2/9,641.50,0,2025-04-13,8
2/3,81.50,,0,2025-04-13,8
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,4
WIN,4,53.50,0,2025-04-13,4
PLACE,4,20.00,0,2025-04-13,4
1,11.00,,0,2025-04-13,4
8,19.00,,0,2025-04-13,4
QUINELLA,"1,4",72.50,0,2025-04-13,4
QUINELLA PLACE,"1,4",32.00,0,2025-04-13,4
"4,8",55.50,,0,2025-04-13,4
"1,8",30.50,,0,2025-04-13,4
FORECAST,"4,1",207.00,0,2025-04-13,4
TIERCE,"4,1,8",845.00,0,2025-04-13,4
TRIO,"1,4,8",147.00,0,2025-04-13,4
FIRST 4,"1,4,7,8",108.00,0,2025-04-13,4
QUARTET,"4,1,8,7","3,104.00",0,2025-04-13,4
3RD DOUBLE,11/4,662.00,0,2025-04-13,4
11/1,67.50,,0,2025-04-13,4
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,5
WIN,8,93.00,0,2025-04-13,5
PLACE,8,27.00,0,2025-04-13,5
5,29.00,,0,2025-04-13,5
7,109.50,,0,2025-04-13,5
QUINELLA,"5,8",581.50,0,2025-04-13,5
QUINELLA PLACE,"5,8",140.00,0,2025-04-13,5
"7,8",399.00,,0,2025-04-13,5
"5,7",568.00,,0,2025-04-13,5
FORECAST,"8,5","1,128.00",0,2025-04-13,5
TIERCE,"8,5,7","28,816.00",0,2025-04-13,5
TRIO,"5,7,8","6,197.00",0,2025-04-13,5
FIRST 4,"5,6,7,8","2,457.00",0,2025-04-13,5
QUARTET,"8,5,7,6","120,960.00",0,2025-04-13,5
4TH DOUBLE,4/8,629.50,0,2025-04-13,5
4/5,97.50,,0,2025-04-13,5
1ST TREBLE,11/4/8,"6,347.00",0,2025-04-13,5
11/4/5,"1,054.00",,0,2025-04-13,5
2ND DOUBLE TRIO,"1,4,8/5,7,8","180,514.00",0,2025-04-13,5
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,9
WIN,4,663.00,0,2025-04-13,9
PLACE,4,95.50,0,2025-04-13,9
12,169.50,,0,2025-04-13,9
7,33.00,,0,2025-04-13,9
QUINELLA,"4,12","25,905.00",0,2025-04-13,9
QUINELLA PLACE,"4,12","4,242.00",0,2025-04-13,9
"4,7",717.50,,0,2025-04-13,9
"7,12","1,155.50",,0,2025-04-13,9
FORECAST,"4,12","49,241.00",0,2025-04-13,9
TIERCE,"4,12,7","739,695.00",0,2025-04-13,9
TRIO,"4,7,12","65,503.00",0,2025-04-13,9
FIRST 4,"4,7,10,12","13,358.00",0,2025-04-13,9
QUARTET,"4,12,7,10","1,291,048.00",0,2025-04-13,9
8TH DOUBLE,9/4,"3,466.00",0,2025-04-13,9
